Below is the full **12-event Super Rare list** for integration. All benefits use the new rule: **5x every available commodity price in that event’s location on that day**.

| ID | Title | Location | Benefit | Filename | Image description |
|---|---|---|---|---|---|
| `lindbergh` | **THE AVIATOR** | Dock #13 | 5x all available Dock #13 prices that day | `events/super_lindbergh.png` | A 1920s waterfront crowd at Dock #13 watching a famous aviator arrive, with flashbulbs, reporters, dockworkers, banners, moored ships, and suited men turning the spectacle into business. Grand, historic, money-in-the-air energy. |
| `mauretania` | **THE LINER** | Dock #13 | 5x all available Dock #13 prices that day | `events/super_mauretania.png` | A massive ocean liner docked at night, gangways crowded with wealthy passengers, stevedores, customs men, trunks, crates, and contraband moving through the shadows. Elegant transatlantic glamour mixed with waterfront crime. |
| `ziegfeld` | **THE MARQUEE** | Kitty Kat Club | 5x all available Kitty Kat Club prices that day | `events/super_ziegfeld.png` | A dazzling 1920s theatre marquee outside the Kitty Kat Club, with showgirls, limousines, tuxedos, paparazzi, champagne crates, and nightlife crowds. Bright bulbs, theatrical excess, expensive trouble. |
| `hollywood` | **THE TALKIES** | Kitty Kat Club | 5x all available Kitty Kat Club prices that day | `events/super_hollywood.png` | A glamorous talkies premiere near the Kitty Kat Club, with film cameras, starlets, velvet ropes, studio men, flash photography, and bootleg champagne being carried through a side door. Silver-screen sparkle with a crooked grin. |
| `wales` | **THE GENTLEMAN** | Uptown | 5x all available Uptown prices that day | `events/super_wales.png` | Uptown high society welcoming the Prince of Wales, with top hats, motorcars, hotel awnings, pearl necklaces, uniformed doormen, and luxury goods changing hands at absurd prices. Polished, royal, and quietly predatory. |
| `wallst` | **THE MARKET** | Uptown | 5x all available Uptown prices that day | `events/super_wallst.png` | A roaring Wall Street trading frenzy in the late 1920s, with brokers shouting, ticker tape, wealthy speculators, champagne, fur coats, and diamond dealers circling the chaos. Euphoric boom-time greed. |
| `ruth` | **THE SLUGGER** | City Hall | 5x all available City Hall prices that day | `events/super_ruth.png` | Babe Ruth fever outside City Hall, with baseball crowds, newspaper boys, civic banners, policemen, politicians, and street vendors cashing in. Big public celebration, citywide hype, everything suddenly overpriced. |
| `walker` | **THE MAYOR** | City Hall | 5x all available City Hall prices that day | `events/super_walker.png` | Mayor Jimmy Walker arriving at City Hall in full 1920s style, surrounded by reporters, fixers, police brass, nightclub figures, and envelopes moving discreetly between hands. Political charm over machine-room corruption. |
| `feast` | **THE FEAST** | Little Italy | 5x all available Little Italy prices that day | `events/super_feast.png` | A 1920s Little Italy street festival at night, packed with lanterns, saint banners, striped awnings, red-sauce restaurant fronts, crowded balconies, and suited men trading envelopes beside food stalls. Warm, celebratory, suspicious. |
| `chairman` | **THE CHAIRMAN** | Little Italy | 5x all available Little Italy prices that day | `events/super_chairman.png` | A sharp young crime boss seated at the head of a long back-room restaurant table in Little Italy, surrounded by half-seen lieutenants, wine glasses, ledgers, cigar smoke, and thick cash envelopes. Controlled, ambitious, dangerous. |
| `garage` | **THE GARAGE** | Warehouse District | 5x all available Warehouse District prices that day | `events/super_garage.png` | A grim 1920s warehouse garage after a notorious hit: open loading doors, stacked crates, a black sedan outside, scattered hats, bullet-marked brickwork, and nervous men in overcoats hauling contraband under harsh light. Dark, cinematic, no gore. |
| `picket_line` | **THE PICKET LINE** | Warehouse District | 5x all available Warehouse District prices that day | `events/super_picket_line.png` | A tense Warehouse District labor standoff, with workers in caps blocking a freight entrance, picket signs, locked gates, piled crates, industrial smoke, wet cobblestones, and suited fixers watching from a parked car. Commerce squeezed hard. |

Events removed from the old Super Rare set: `dempsey` / **THE FIGHT** and `kkrevue` / **THE REVUE**.
